parent_topic,source_url,page_title,publisher_or_author,language,extracted_at,data_format,information_category,extracted_content,has_media,http_status,confidence_score
FIFA World Cup 2026 win predictions,https://www.espn.com/soccer/,"Soccer on ESPN - Scores, Stats and Highlights",Unknown Publisher,en,2026-06-16T19:55:23.515052+00:00,text_paragraph,win_predictions,"Watch your favorite events in the newly enhanced ESPN App. Learn more about what plan is right for you.
Eleven NFL stadiums are playing host to the World Cup this summer, but each have required substantial alterations to host the beautiful game.
Welcome to the 2026 World Cup, where everything is bigger and louder than ever before.
There are many fears swirling around the 2026 FIFA World Cup. Here are six issues, according to Gab Marcotti -- and six reasons why it still be a success.
Check out the groups for the 2026 FIFA World Cup in the U.S., Canada and Mexico, along with everything you need to know about the tourney's format.
Here's everything you need to know about what teams need to do to reach the knockout rounds of the 2026 World Cup.
Here's what you need to know about offside, why it exists and how it will be implemented at the 2026 World Cup.
With Cristiano Ronaldo on the quest to score 1,000 goals, ESPN provides goal-by-goal analysis of the Portuguese superstar's quest.
ESPN provides game-by-game analysis of Lionel Messi's performances for Inter Miami and Argentina.",True,200,0.8
FIFA World Cup 2026 win predictions,https://technosports.co.in/watch-fifa-world-cup-2026-live-in-india-free/,"How to Watch FIFA World Cup 2026 LIVE in India: TV Channels, Free Streaming & Match Timings in IST",Unknown Publisher,en,2026-06-16T19:55:23.574938+00:00,text_paragraph,win_predictions,"How to Watch FIFA World Cup 2026 LIVE in India: Your Complete Guide After months of nerve-wracking uncertainty — with broadcasters walking away and deadlines flying by — Indian football…
After months of nerve-wracking uncertainty — with broadcasters walking away and deadlines flying by — Indian football fans can finally breathe. The FIFA World Cup 2026 is coming to your screens, and it’s arriving courtesy of a landmark deal that will keep football fans glued to their TVs and phones all the way until 2034. Here’s everything you need to know.
The FIFA World Cup 2026 will be shown live on television on Zee Entertainment’s newly launched Unite8 Sports network channels, with live streaming of the tournament available on the ZEE5 platform.
The broadcast deal, announced just 10 days before the tournament begins on June 11, secured television and digital broadcast rights for football’s biggest event as well as a host of other FIFA competitions through 2034. This isn’t just a World Cup deal — it’s a decade-long partnership that locks India into premium FIFA football until 2030 and beyond.
The 2026 World Cup broadcast agreement was part of a deal that covers major FIFA tournaments for audiences in India until 2034, including the 2030 World Cup, the 2027 Women’s World Cup, and several other FIFA competitions.
Read more:Watch FIFA World Cup 2026 on JioTV+: Jio Seals Last-Minute Deal With Zee
Read more:FIFA World Cup 2026 Schedule, Indian Timings & Where to Watch LIVE
Because the tourname...",True,200,1.0
FIFA World Cup 2026 win predictions,https://www.foxsports.com/soccer/2026-fifa-world-cup,Men's FIFA World Cup 2026 - Watch Live Matches Streaming | FOX Sports,Unknown Publisher,en,2026-06-16T19:55:23.798785+00:00,text_paragraph,win_predictions,"The 2026 FIFA World Cup™ in North America is the 23rd edition of the biggest sporting event on the planet. The tournament is already full of firsts as it is the first to feature 48 teams and to be co-hosted by three countries (United States, Canada and Mexico). The FOX Sports app is your complete home for World Cup content, including live scores, highlights, commentary and analysis, and full-match replays. Watch live matches on FOX or stream onFOX Oneby signing in with your TV provider or signing up.
The FIFA World Cup 2026™ is scheduled from Thursday, June 11 to Sunday, July 19, 2026.
The tournament is being co-hosted by the United States, Canada and Mexico. It is the first time three countries will share hosting duties. Mexico hosted the 1970 and 1986 tournaments. The USA has hosted once before in 1994. This will be the first time for Canada.
Matches will be broadcast on FOX, FS1, FOXSports.com and FOX One, the official streaming platform—sign in with your TV provider or sign up.
World Cup qualifiers are regional tournaments where national teams compete to earn a spot in the FIFA World Cup based on their performance in group and knockout matches. There are six regions that each have a certain number of qualification slots. A select number of playoff spots are also available. At the end of the process, there will be 48 total teams in the World Cup.
As a co-host, the United States Men's National Team automatically qualified for the 2026 World Cup. In the 2022 World Cup, they ...",True,200,0.9
FIFA World Cup 2026 win predictions,https://www.espn.com/soccer/worldcup/,"FIFA Men's World Cup on ESPN - Scores, Stats, News and Analysis",Unknown Publisher,en,2026-06-16T19:55:24.052694+00:00,text_paragraph,win_predictions,"Watch your favorite events in the newly enhanced ESPN App. Learn more about what plan is right for you.
Eleven NFL stadiums are playing host to the World Cup this summer, but each have required substantial alterations to host the beautiful game.
Welcome to the 2026 World Cup, where everything is bigger and louder than ever before.
There are many fears swirling around the 2026 FIFA World Cup. Here are six issues, according to Gab Marcotti -- and six reasons why it still be a success.
Check out the groups for the 2026 FIFA World Cup in the U.S., Canada and Mexico, along with everything you need to know about the tourney's format.
Here's everything you need to know about what teams need to do to reach the knockout rounds of the 2026 World Cup.
Here's what you need to know about offside, why it exists and how it will be implemented at the 2026 World Cup.",True,200,0.8
FIFA World Cup 2026 win predictions,https://fifa-worldcup26.com/,"FIFA World Cup 2026: Live Scores, Schedule, Tickets & Travel",Unknown Publisher,en,2026-06-16T19:55:24.207721+00:00,text_paragraph,win_predictions,"The2026 FIFA World Cupis officially LIVE! The globe’s most massive sporting event has begun across the United States, Mexico, and Canada. With the 48-team roster finalized and the group stages underway, the action is moving at a breakneck pace.
From June 11 to July 19, 2026, an unprecedented 104 thrilling world cup games will take place across 16 North American host cities. With all 48 teams confirmed, fans are aggressively securing their 2026 World Cup tickets via the official resale markets.
Whether you are planning a trip to North America, following your national team, or searching for the latest tournament information, this guide covers every aspect of the FIFA World Cup 2026. Explore the complete match schedule, qualified teams, host stadiums, ticket information, travel advice, group standings, and live tournament updates from the opening match in Mexico City to the final at MetLife Stadium in New Jersey.
The final countdown is on. Here are the critical milestones before the world arrives in North America for the biggest tournament in history.
The groups were officially drawn in Washington D.C., setting the stage for the tournament. (Completed)
The final 6 teams secure their spots in the tournament through the ultimate playoff rounds.
The final opportunity for fans to secure official tickets via the FIFA portal on a first-come, first-served basis has ended.
All 48 nations are officially locking in their 26-man rosters for the tournament.
The wait is over. The tournament ...",True,200,1.0
FIFA World Cup 2026 win predictions,https://www.espn.com/soccer/league/_/name/eng.1,"English Premier League News, Stats, Scores  - ESPN",Unknown Publisher,en,2026-06-16T19:55:24.329396+00:00,text_paragraph,win_predictions,"Tottenham have agreed a £52 million ($69.8m) deal to sign Jan Paul van Hecke from Brighton, sources have told ESPN.
Tottenham have entered the race to sign Sandro Tonali but Newcastle may demand a fee in the region of £100million, sources have told ESPN.
Manchester United have set a £40 million transfer valuation on Marcus Rashford sources have told ESPN.
Manchester United seek £40m transfer fee for Marcus Rashford after Barcelona reject chance to complete permanent deal. Sources tell ESPN that United rule out offloading Rashford Liverpool or Manchester City.
Newcastle United midfielder Sandro Tonali now has Tottenham Hotspur on his trail. Transfer Talk has the latest.
Which Premier League players from your team are representing their country at the 2026 World Cup in the United States, Canada and Mexico?
Everything that Premier League and EFL supporters need to know about the 2026 summer transfer window, and key dates around it.
Here's every Premier League in and out before the 2026-27 season begins.
AS Roma are set to make a move to sign Marseille striker Mason Greenwood. Transfer Talk has the latest.
The 2026 summer transfer window is open. Here is how we rated the biggest deals.
Erling Haaland tells ESPN he is ready to make his World Cup debut and show his love for Norway on football's biggest stage.
Manchester United's 2026-27 campaign will be the subject of a new fly-on-the-wall documentary series for Amazon Prime, it has been announced.
The transfer window is open in Pr...",True,200,0.9
FIFA World Cup 2026 win predictions,https://www.fifaworldcupnews.com/fifa-world-cup-2026-groups/,FIFA World Cup 2026 Groups - 48 teams | 104 matches | 12 Groups,Unknown Publisher,en,2026-06-16T19:55:24.407893+00:00,text_paragraph,win_predictions,"Latest FIFA World Cup News, Live Score, Match schedule, Results, Team Score and more
The wait is finally over! FIFA’s December 5, 2025, draw at Washington D.C.’s Kennedy Center has revealed all 12 groups for the historic2026 FIFA World Cup. With48 teamscompeting across theUnited States,Canada, andMexico, this tournament promises to deliver the most thrilling World Cup action in history.
Here’s everything you need to know about the FIFA World Cup 2026 Groups, blockbuster matchups, and what to expect when the action kicks off onJune 11, 2026.
The48-team formatcreates12 groups of four, with the top two teams from each group plus the eight best third-place finishers advancing to a brand newRound of 32. This expansion means more nations, more matches, and more opportunities for unforgettable moments.
Mexico gets the honour of opening the tournament at the legendary Estadio Azteca onJune 11—exactly 16 years after hosting the 2010 opener against South Africa. That’s right, we’re getting a rematch! South Korea brings World Cup pedigree, while theUEFA playoff winnerCzech Republic, ends a 20-year absence from the tournament.
Why This Matters:Mexico is under massive pressure to perform on home soil. Anything less than advancing would be devastating for El Tri fans.
Brazil headlines this group after beingdrawnfirst in the entire ceremony. Morocco, fresh off their stunning 2022 semifinal run, will be hungry to prove it wasn’t a fluke. Canada gets home-field advantage, while Switzerland co...",True,200,1.0
FIFA World Cup 2026 win predictions,https://www.espn.com/soccer/league/_/name/usa.nwsl,"NWSL News, Stats, Scores  - ESPN",Unknown Publisher,en,2026-06-16T19:55:24.439937+00:00,text_paragraph,win_predictions,"Super Falcons goalkeeper Chiamaka Nnadozie says she is looking forward to welcoming Nigerian teenager Zadok Yohanna and helping him settle into life at Brighton & Hove Albion.
The USL Super League will flip its calendar to begin play in the spring and end its season in the fall beginning in 2027, which will align the Super League with the NWSL.
South Africa's Banyana Banyana will visit Japan at the Yanmar Hanasaka Stadium on Saturday in the first of two friendly matches as they continue their preparations for the upcoming Women's Africa Cup of Nations (WAFCON).
Malawi star Temwa Chawinga returned to her scorching best in May in the NWSL for the Kansas City Current, while her sister Tabitha Chawinga did the most for Lyon in France.
Audi Field in Washington, D.C., will host the 2026 NWSL Championship on Nov. 21, the league announced on Wednesday.
The self-proclaimed ""Triple Espresso"" of United States women's national team forwards Trinity Rodman, Sophia Wilson and Mallory Swanson trained together this week for the first time since the 2024 Olympics.
Washington Spirit forward Gift Monday and veteran striker Asisat Oshoala were named in Nigeria's squad for two international friendlies against Senegal, part of Nigeria's build-up to the 2026 WAFCON.
Thought the Utah Royals were a fluke? They're still on top of ESPN's NWSL Power Rankings, as the Portland Thorns struggle to keep pace.
Portland Thorns forward Sophia Wilson scored an equalizer from the penalty spot to earn her team a 2...",True,200,0.9
FIFA World Cup 2026 win predictions,https://www.espn.com/soccer/league/_/name/esp.1,"Spanish LALIGA News, Stats, Scores  - ESPN",Unknown Publisher,en,2026-06-16T19:55:24.496346+00:00,text_paragraph,win_predictions,"Defender Antonio Rüdiger has extended his contract with Real Madrid until 2027, the Spanish club announced Tuesday.
Former Wolves and Nottingham Forest striker Rafa Mir has received an eight and-a-half year prison sentence by a court in Spain after being found guilty of sexual assault.
The 2026 summer transfer window is open. Here is how we rated the biggest deals.
Barcelona's option to sign Marcus Rashford for €30 million (£35m) is set to expire on Monday without the Spanish champions activating the clause.
The transfer window is open in Premier League and will be soon in Europe, so who is available? It's our big board!
Real Madrid have agreed a deal worth up to £51.8 million (€60 million/$69.3 million) with Chelsea to sign Marc Cucurella, sources have told ESPN.
Ferran Torres refused to discuss speculation about his future at Barcelona -- and links with Paris Saint-Germain -- ahead of Spain's World Cup debut against Cape Verde.
Throughout the season, ESPN has asked LaLiga players and coaches what it's like to take on the duo who are set to be the World Cup's biggest stars.
France forward Ousmane Dembélé has said that criticism of his teammate Kylian Mbappé has ""gone too far"" with the Real Madrid star taking the brunt of the scrutiny for the LaLiga side's poor form.
Benfica president Rui Costa has revealed José Mourinho would have left the Lisbon club even if Florentino Pérez had lost Real Madrid's presidential elections.
Real Madrid have confirmed the appointment of José Mo...",True,200,0.8
FIFA World Cup 2026 win predictions,https://www.espn.com/college-sports/football/recruiting/,2024 Recruit College Football Class and Player Rankings - ESPN,Unknown Publisher,en,2026-06-16T19:55:24.689673+00:00,text_paragraph,win_predictions,"How do the 2026 freshmen compare to upcoming classes? How many juniors could be immediate starters?
We rank the top 300 college football recruits in the Class of 2026.
Lincoln Riley and the Trojans break the SEC's five-year grip on football recruiting supremacy.",True,200,0.7
